ID,d2H,d18O,Region-of-Origin,,,,,,,,,,,,,
A_Bone,-70.096,-9.662249264,Central America,,,,,,,,,,,,,
A_Enamel,-40.629,-6.352576273,Central America,,,,,,,,,,,,,
B_Bone,-71.4830017,-9.866162766,Central America,,,,,,,,,,,,,
B_Enamel,-62.2820015,-8.674053063,Central America,,,,,,,,,,,,,
C_Enamel,-62.10100174,-8.015255596,Central America,,,,,,,,,,,,,
D_Bone,-51.35900116,-7.121173318,Yucatan,,,,,,,,,,,,,
D_Enamel,-61.15599823,-6.352576273,Yucatan,,,,,,,,,,,,,
E_Bone,-90.31099701,-10.9798442,Yucatan,,,,,,,,,,,,,
E_Enamel,-68.14499664,-8.862280911,Yucatan,,,,,,,,,,,,,
F_Enamel,-95.68299866,-12.29743913,Yucatan,,,,,,,,,,,,,
G_Bone,-69.29599762,-8.987766143,Mexico (unknown),,,,,,,,,,,,,
G_Enamel,-68.94799805,-9.317164876,Mexico (unknown),,,,,,,,,,,,,
H_Bone,-63.57600021,-8.768166987,South Mexico ,,,,,,,,,,,,,
H_Enamel,-39.63100052,-5.70946446,South Mexico ,,,,,,,,,,,,,
I_Bone,-61.88299942,-8.611310447,North Mexico,,,,,,,,,,,,,
I_Enamel,-61.88299942,-8.611310447,North Mexico,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,